100,ひゃく
200,にひゃく
300,さんびゃく
400,よんひゃく
500,ごひゃく
600,ろっぴゃく
700,ななひゃく
800,はっぴゃく
1000,せん
2000,にせん
3000,さんぜん
4000,よんせん
5000,ごせん
6000,ろくせん
7000,ななせん
8000,はっせん
9000,きゅうせん
100000,じゅうまん
1000000,ひゃくまん
1 (counting),ひとつ
2 (counting),ふたつ
3 (counting),みっつ
4 (counting),よっつ
5 (counting),いつつ
6 (counting),むっつ
7 (counting),ななつ
8 (counting),やっつ
9 (counting),ここのつ
10 (counting),とお
how old?,なんさい
1 year old,いっさい
2 years old,にさい
3 years old,さんさい
4 years old,よんさい
5 years old,ごさい
6 years old,ろくさい
7 years old,ななさい
8 years old,はっさい
10 years old,じゅっさい
1st floor,いっかい
2nd floor,にかい
3rd floor,さんがい
4th floor,よんかい
5th floor,ごかい
6th floor,ろっかい
7th floor,ななかい
8th floor,はちかい
9th floor,きゅうかい
10th floor,じゅっかい
1 (object),いっこ
2 (objects),にこ
3 (objects),さんこ
4 (objects),よんこ
5 (objects),ごこ
6 (objects),ろっこ
7 (objects),ななこ
8 (objects),はっこ
9 (objects),きゅうこ
10 (objects),じゅっこ