指,ゆび finger
指輪,ゆびわ ring
指定,してい specification； designation
指定席,していせき reserved seat
指す,さす to point
定休日,ていきゅうび regular holiday
安定,あんてい stability
不安定,ふあんてい Unstable
予定,よてい plan
席,せき seat
出席,しゅっせき attendance
欠席,けっせき absence
自由な,じゆうな free
不自由な,ふじゆう(な) disability/inconvenience
自由席,じゆうせき non-reserved seat
理由,りゆう reason
番,ばん number
番号,ばんごう number
番線,ばんせん line (platform) number
順番,じゅんばん turn (in line)；order of things
番組,ばんぐみ TV program
窓,まど window
窓口,まどぐち ticket window; counter / contact person
側,がわ・そば Side; Nearby
右側,みぎがわ right side
両側,りょうがわ both sides
窓側,まどがわ window seat
通路,つうろ passage；pathway
道路,どうろ road；highway
線路,せんろ A railway track