燃料,ねんりょう fuel
親しい,したしい intimate；close (e.g. friend)
岸,きし shore
提出,ていしゅつ to present/ to submit
比べる,くらべる to compare
調べる,しらべる to investigate
選べる,えらべる to choose
乗客,じょうきゃく passenger
都会,とかい big city
肌,はだ skin
腰,こし hip
脳,のう brain
金額,きんがく amount of money
検査する,けんさする (to examine)
賢い,かしこい wise；clever
泣く,なく to cry
汗,あせ sweat
涙,なみだ tear
加える,くわえる to add
貧しい,まずしい poor
渋滞する,じゅうたいする to cause congestion
評価,ひょうか evaluation
技術,ぎじゅつ technology
首都,しゅとCapital city
専門,せんもん specialty；major
飾って,かざって to decorate
原料,げんりょう raw materials
送料,そうりょう carriage
資料,しりょう materials；data
探して,さがして search
募集する,ぼしゅうする to recruit
応募する,おうぼする to apply
商業,しょうぎょう commerce
覚えて,おぼえて to remember
広告,こうこく advertisement
相手,あいて partner
大会,たいかい tournament
割れる,われる to break
集中する,しゅうちゅうする to concentrate
食器,しょっき tableware
消して,けして to turn off
欠席,けっせき absence
若い,わかい young
苦い,にがい bitter
複数,ふくすう plural；multiple
減少,げんしょう decrease
軽い,かるい light
丸い,まるい round
低い,ひくい low
個人,こじん individual
方向,ほうこう direction
申し込み,もうしこみ application
測って,はかって Measure
独立する,どくりつする to become independent
折れる,おれる to break
壊れて,こわれて broken
努力する,どりょくする to make an effort
逃げて,にげて run away
成績,せいせき results; record; grades
汚い,きたない dirty
冷えて,ひえて to cool down
早退,そうたい leave early
下線,かせん underline
転,てん; ころ (to roll over)
主要な,しゅような major
過去,かこ past
困ります,こまります(To Be In Trouble)
期待する,きたいする to expect
頭痛,ずつう headache
葉,は leaf
預ける,あずける to entrust
経由する,けいゆする go via
分類,ぶんるい classification
引き受ける,ひきうける undertake
滞在,たいざい stay
逆,ぎゃく opposite